"Machine On Delivery Payment","Pagamento com Maquininha na Entrega"
"Card Type","Tipo do Cartão"
"Need Change","Precisa de Troco"
"Change Amount","Valor do Troco"
"Cash Amount","Valor em Dinheiro"
"Change type is not allowed for this payment method.","Tipo de troco não é permitido para este tipo de pagamento."
"Cash amount must be equal or greater than %s.","O valor do dinheiro deve ser igual ou maior que %s."
"Change To Amount","Troco para Quanto"
"Rating %s star(s): %s","Avaliação %s estrela(s): %s"
"Default Email Prefix","Prefixo do Email Padrão"
"Total Items Qty: %s","Qtde Total Itens: %s"
"Payment method is not available.","Forma de pagamento não disponível."
"Order Draft","Rascunho do Pedido"
"Word Wrap","Quebra de Linha"
"Price: %s <b><u>Qty: %s</u></b> Total: %s","Preço: %s <b><u>Qtde: %s</u></b> Total: %s"
"Subtotal: %s","Subtotal: %s"
"Shipping Amount: %s","Valor Entrega: %s"
"Table: %s","Mesa: %s"
"Table #%s","Mesa #%s"
"Card: %s","Cartão: %s"
"Card #%s","Cartão #%s"
"Operator: %s","Operador: %s"
"Cashier: %s","Caixa: %s"
"Customer #%s","Cliente #%s"
"PDV is not available.","PDV não está disponível."
"Requested query not specified.","Consulta solicitada não especificada."
"Query length is invalid.","O comprimento da consulta é inválido."
"Query has no result.","A consulta não tem resultado."
"Query has no product.","A consulta não possui produto."
"Cart #%s","Carrinho #%s"

